Item, Type
LivingRoomLight, Switch
IndoorMotionSensor, Switch
OutdoorMotionSensor, Switch
Heating, Switch
TV, Switch
CeilingFan, Switch
GarageDoorLock, Switch
Presence, Switch
FrontDoorLock, Switch
LivingRoomWindowRemoteControl, Switch
FrontDoor, Contact
GarageDoor, Contact
LivingRoomWindow, Contact
KitchenWindow, Contact
LivingroomTemperature, Number
OutsideTemperature, Number
LivingRoomRollerShutter, Rollershutter
SurveillanceCamera, Contact
Co2Detector, Switch
SmokeDetector, Switch
Illuminance, Number
AC, Switch
FireSprinkler, Switch
MyAppliances, Switch
VacationMode, Switch
BedRoomWindow, Switch
WaterLeakDetector, Switch
WaterValve, Switch
AwayMode, Switch
HomeMode, Switch
SleepMode, Switch
None, None
